question,answer
"What is the capital of France?","The capital of France is Paris."
"How many continents are there?","There are 7 continents on Earth."
"What is 2 + 2?","2 + 2 equals 4."
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet."
"What is the largest planet in our solar system?","Jupiter is the largest planet in our solar system."
"What year did World War II end?","World War II ended in 1945."
"What is the chemical symbol for water?","The chemical symbol for water is H2O."
"How many sides does a triangle have?","A triangle has 3 sides."
"What is the fastest land animal?","The cheetah is the fastest land animal."
"What is the smallest country in the world?","Vatican City is the smallest country in the world."
"How many hearts does an octopus have?","An octopus has 3 hearts."
"What is the hardest natural substance?","Diamond is the hardest natural substance."
"Which planet is closest to the Sun?","Mercury is the closest planet to the Sun."
"What is the boiling point of water?","Water boils at 100 degrees Celsius or 212 degrees Fahrenheit."
"How many bones are in the human body?","The adult human body has 206 bones."
"What is the largest ocean?","The Pacific Ocean is the largest ocean."
"Who painted the Mona Lisa?","Leonardo da Vinci painted the Mona Lisa."
"What is the speed of light?","The speed of light is approximately 299,792,458 meters per second."
"How many days are in a leap year?","A leap year has 366 days."
"What is the currency of Japan?","The currency of Japan is the Japanese Yen."